DistrictCode,DistrictName,SchoolCode,SchoolName,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate
14005.0,Aberdeen School District,3857.0,Harbor High School,41.0,2.0,,,2.0,7.0,1.0,42.0,14.0,19.0,9.0,0.3333
14005.0,Aberdeen School District,3476.0,J M Weatherwax High School,193.0,27.0,3.0,2.0,2.0,3.0,24.0,196.0,161.0,25.0,10.0,0.8214
29103.0,Anacortes School District,2467.0,Anacortes High School,167.0,26.0,,,1.0,2.0,25.0,168.0,161.0,4.0,3.0,0.9583
29103.0,Anacortes School District,5176.0,Cap Sante High School,41.0,5.0,,,1.0,10.0,7.0,39.0,15.0,13.0,11.0,0.3846
31016.0,Arlington School District,2523.0,Arlington High School,399.0,26.0,1.0,,4.0,12.0,36.0,389.0,365.0,7.0,17.0,0.9383
31016.0,Arlington School District,2277.0,Arlington Special Educ School,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,
31016.0,Arlington School District,4287.0,Weston High School,38.0,7.0,,,1.0,1.0,9.0,36.0,20.0,14.0,2.0,0.5556
2420.0,Asotin-Anatone School District,2434.0,Asotin Jr Sr High,60.0,9.0,,,1.0,1.0,6.0,63.0,58.0,3.0,2.0,0.9206
17408.0,Auburn School District,5037.0,Auburn Mountainview High School,366.0,48.0,,2.0,7.0,17.0,46.0,368.0,337.0,5.0,26.0,0.9158
17408.0,Auburn School District,5522.0,Auburn Opportunity Project,51.0,8.0,,,,26.0,0.0,59.0,14.0,19.0,26.0,0.2373
17408.0,Auburn School District,4474.0,Auburn Riverside High School,349.0,50.0,,1.0,4.0,14.0,53.0,346.0,319.0,8.0,19.0,0.922
17408.0,Auburn School District,2795.0,Auburn Senior High School,393.0,65.0,4.0,6.0,8.0,36.0,55.0,403.0,320.0,29.0,54.0,0.794
17408.0,Auburn School District,1915.0,Special Ed School,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,
17408.0,Auburn School District,2702.0,West Auburn Senior High School,99.0,13.0,,4.0,23.0,31.0,12.0,100.0,24.0,18.0,58.0,0.24
18303.0,Bainbridge Island School District,2395.0,Bainbridge High School,284.0,38.0,,,3.0,5.0,36.0,286.0,272.0,6.0,8.0,0.951
18303.0,Bainbridge Island School District,1939.0,Bainbridge Special Education Services,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,
18303.0,Bainbridge Island School District,1935.0,Eagle Harbor High School,39.0,1.0,,,1.0,3.0,3.0,37.0,29.0,4.0,4.0,0.7838
6119.0,Battle Ground School District,2415.0,Battle Ground High School,457.0,62.0,1.0,6.0,14.0,22.0,68.0,451.0,397.0,11.0,43.0,0.8803
6119.0,Battle Ground School District,1875.0,Homelink River,94.0,14.0,1.0,1.0,3.0,14.0,16.0,92.0,73.0,0.0,19.0,0.7935
6119.0,Battle Ground School District,4104.0,Prairie High School,328.0,73.0,2.0,,8.0,22.0,56.0,345.0,299.0,14.0,32.0,0.8667
6119.0,Battle Ground School District,4450.0,Summit View High School,165.0,23.0,,3.0,23.0,51.0,9.0,179.0,50.0,52.0,77.0,0.2793
